country,population,area_square_km,density_square_km,average_years_of_school,auto_demo_polity,gdp_per_capita,happiness_index,freedom_index,less_corruption_index,life_expectancy_years,inequality_gini,median_household_income_dollars,median_per_capita_income_dollars,median_individual_income_dollars
China,1444216.107,9706961,148.7815,2.77,-7.0,12009.443,5.14,0.51697,0.02781,75.928,38.5,6180.0,1786.0,10410.0
India,1393409.038,3287590,423.8391,1.24,9.0,5722.5186,4.565,0.39786,0.08492,68.607,35.7,3168.0,616.0,2130.0
United States,332915.073,9372610,35.52,10.61,10.0,53533.281,7.119,0.54604,0.1589,78.91,41.1,43585.0,15480.0,65760.0
Indonesia,276361.783,1904569,145.1046,2.26,9.0,9781.207,5.399,0.46611,0.0,70.768,37.8,2199.0,541.0,4050.0
Pakistan,225199.937,881912,255.3542,1.31,7.0,4815.9243,5.194,0.12102,0.10464,66.577,33.5,4060.0,480.0,1530.0
Brazil,213993.437,8515767,25.1291,3.09,8.0,14272.854,6.983,0.49049,0.17521,74.994,53.9,7522.0,2247.0,9130.0
Nigeria,211400.708,923768,228.8461,3.38,7.0,4965.561,5.268,0.34334,0.0403,53.112,35.1,2667.0,493.0,2030.0
Bangladesh,166303.498,147570,1126.9465,1.16,1.0,3114.0554,4.694,0.4082,0.12569,71.514,32.4,2819.0,567.0,1940.0
Russia,145912.025,17098242,8.5337,5.26,4.0,22832.863,5.716,0.36679,0.03005,71.464,37.5,11724.0,4129.0,11260.0
Mexico,130262.216,1964375,66.3123,2.89,8.0,16903.82,7.187,0.48181,0.21312,74.904,36.8,11680.0,2900.0,9430.0
Japan,126050.804,377930,333.5295,7.08,10.0,38875.066,5.987,0.49615,0.1806,83.879,32.9,33822.0,10840.0,41690.0
Ethiopia,117876.227,1104300,106.7429,3.38,7.5,1615.0925,4.512,0.4345,0.15048,65.048,35.0,7437.5,1790.5,850.0
Philippines,111046.913,342353,324.3638,4.03,8.0,6824.7671,5.073,0.62545,0.12279,70.644,44.4,2401.0,478.0,3850.0
Egypt,104258.327,1002450,104.0035,1.03,-4.0,10772.85,4.194,0.17288,0.06324,71.302,31.5,3111.0,623.0,2690.0
Vietnam,98168.833,331212,296.3927,3.0,-7.0,5462.5864,5.36,0.59444,0.10441,75.11,35.7,4783.0,1124.0,2540.0
Turkey,85042.738,783562,108.5335,2.02,3.0,25508.607,5.332,0.22815,0.15746,76.532,41.9,8955.0,2538.0,9610.0
Iran,85028.759,1648195,51.589,1.17,-7.0,14834.178,4.686,0.30033,0.05863,75.796,40.8,12046.0,3115.0,5420.0
Germany,83900.473,357114,234.9403,7.71,10.0,44482.508,6.75,0.61477,0.21843,80.77,31.9,33333.0,14098.0,48520.0
Thailand,69950.85,513120,136.3245,1.87,-3.0,14661.521,6.455,0.55664,0.03187,76.091,36.4,7029.0,1795.0,7260.0
United Kingdom,68207.116,242900,280.8033,7.54,10.0,38172.355,6.867,0.59625,0.32067,81.052,34.8,31617.0,12399.0,42370.0
France,65426.179,551695,118.5912,4.96,9.0,37809.063,6.575,0.55011,0.20646,82.224,31.6,31112.0,12445.0,42400.0
Tanzania,61498.437,945087,65.0717,1.79,3.0,2533.8428,3.781,0.32878,0.05747,63.111,40.5,2154.0,384.0,11480.0
Italy,60367.477,301336,200.3328,5.17,10.0,35186.254,5.948,0.26236,0.02901,82.828,35.9,20085.0,6874.0,34460.0
South Africa,60041.994,1221037,49.173,4.44,9.0,11924.6,4.642,0.33207,0.08884,62.649,63.0,5217.0,1217.0,6040.0
